# SN  M_B  e(M_B)  vsi  e(vsi)  pew(5972)  e(pew(5972))  pew(6355)  e(pew(6355))
SN2009cz  -19.590  0.131  10.099  0.313  11.935  3.199  75.599  4.188
SN2012aq  -19.533  0.147  11.203  0.368  27.629  2.215  105.541  3.493
CSP14acl  -18.907  0.076  10.060  0.265  16.158  3.153  116.022  5.354
ASAS15ba  -19.309  0.115  11.422  0.180  16.175  1.704  117.295  3.270
LSQ11bk  -19.330  0.062  12.574  0.311  5.563  1.548  98.171  3.476
LSQ12hzj  -19.113  0.100  9.756  0.255  13.523  2.220  59.114  3.694
SN2006ax  -19.468  0.133  10.597  0.256  9.635  2.006  92.507  2.918
SN2012ij  -18.125  0.213  10.848  0.299  53.339  3.978  121.542  4.725
CSP15B  -19.150  0.192  13.950  0.430  31.468  4.516  175.379  5.552
SN2012fr  -19.465  0.401  12.065  0.212  6.513  1.660  70.463  3.086
SN2006hx  -19.636  0.132  10.518  0.480  12.627  5.889  42.635  5.571
SN2011iv  -19.671  0.336  10.938  0.163  40.821  2.205  88.601  2.038
SN2004gs  -18.857  0.114  11.224  0.138  41.696  6.320  136.727  8.028
SN2012hl  -18.856  0.271  12.947  0.227  13.283  3.422  141.985  7.291
SN2009Y  -19.620  0.235  14.392  0.158  8.585  1.978  155.619  4.696
SN2008hj  -19.301  0.086  12.967  0.460  15.973  2.131  103.313  3.483
LSQ13aiz  -19.670  0.328  14.207  0.236  17.368  2.686  133.575  3.719
SN2014I  -19.480  0.097  11.281  0.238  23.537  3.663  98.651  4.672
ASAS14kq  -19.443  0.113  10.496  0.299  10.668  1.533  82.513  3.476
SN1998dh  -19.340  0.220  12.401  0.213  26.065  2.173  124.573  2.016
SN1998dm  -18.680  0.280  10.950  0.216  11.182  1.880  73.219  2.222
SN1999cp  -19.360  0.180  10.567  0.179  22.737  1.441  104.630  2.434
SN1999dq  -19.820  0.150  11.135  0.090  9.269  1.620  44.756  2.260
SN1999gp  -19.610  0.090  11.145  0.415  8.234  2.228  53.786  2.990
SN2000cx  -19.310  0.240  11.812  0.279  5.913  2.207  40.336  3.757
SN2000dn  -19.150  0.070  9.668  0.323  13.336  3.229  102.394  3.560
SN2000dr  -18.520  0.110  10.265  0.292  84.564  3.186  131.366  3.250
SN2000fa  -19.540  0.100  11.932  0.262  10.682  2.301  83.445  4.754
SN2001en  -18.860  0.150  12.579  0.283  9.408  1.458  135.034  3.053
SN2001ep  -19.240  0.150  10.688  0.182  31.936  2.117  111.738  2.117
SN2002bo  -19.310  0.290  13.373  0.189  10.546  5.097  150.403  9.252
SN2002cr  -19.340  0.180  10.138  0.102  19.319  1.752  104.602  2.027
SN2002dj  -19.260  0.210  14.037  0.321  6.294  1.304  150.956  2.311
SN2002dl  -18.280  0.120  12.496  0.450  40.207  4.492  90.086  4.936
SN2002eb  -19.600  0.080  10.093  0.218  9.852  2.138  64.955  4.073
SN2002er  -19.340  0.210  12.027  0.048  24.207  0.921  115.158  1.159
SN2002fk  -19.400  0.240  9.850  0.282  18.600  1.676  80.686  2.215
SN2002ha  -19.160  0.140  11.281  0.291  30.616  2.649  111.271  2.767
SN2002he  -19.010  0.090  12.646  0.161  20.189  1.126  118.258  1.512
SN2003cg  -19.490  0.320  11.058  0.300  23.991  2.497  96.098  3.083
SN2003gn  -18.810  0.110  13.232  0.878  40.839  9.282  146.766  10.340
SN2003gt  -19.470  0.130  11.318  0.390  33.639  3.577  76.820  4.107
SN2003W  -19.440  0.100  15.201  0.461  6.421  1.670  108.196  3.521
SN2003Y  -17.480  0.140  11.275  0.426  71.824  8.162  104.123  5.901
SN2004at  -19.460  0.090  10.675  0.163  10.479  1.919  92.633  2.252
SN2004dt  -19.830  0.100  15.973  0.040  21.470  1.881  166.965  3.030
SN2005cf  -19.410  0.250  10.284  0.261  17.030  1.120  89.692  1.249
SN2005de  -19.060  0.130  10.668  0.326  30.219  3.180  102.881  3.531
SN2006cp  -19.270  0.110  14.883  0.525  15.276  2.355  158.973  2.954
SN2006gr  -19.410  0.090  11.344  0.449  3.284  2.451  65.027  4.160
SN2006le  -19.850  0.110  11.438  0.181  12.954  2.444  93.293  5.213
SN2008ec  -19.210  0.130  10.832  0.674  36.686  2.785  119.333  3.096
SN2001V  -19.700  0.130  11.423  0.119  13.213  2.125  56.955  1.901
SN2006lf  -19.390  0.160  11.729  0.112  25.732  2.967  100.441  4.450
SN2007ci  -18.580  0.110  12.299  0.432  50.032  2.571  126.438  2.764
